Greedy	Dynamic
185	185	Both
664	671	Dynamic
536	536	Both
573	573	Both
383	383	Both
139	182	Dynamic
371	397	Dynamic
406	406	Both
288	288	Both
475	480	Dynamic
275	275	Both
345	345	Both
25	25	Both
209	209	Both
261	269	Dynamic
544	544	Both
271	271	Both
568	573	Dynamic
124	124	Both
555	564	Dynamic
333	333	Both
197	219	Dynamic
378	378	Both
453	453	Both
411	430	Dynamic
249	249	Both
327	327	Both
690	703	Dynamic
248	248	Both
0	0	Both
101	101	Both
143	143	Both
334	334	Both
153	153	Both
97	97	Both
360	360	Both
372	377	Dynamic
198	198	Both
604	631	Dynamic
207	215	Dynamic
648	660	Dynamic
340	340	Both
275	285	Dynamic
467	467	Both
325	336	Dynamic
179	179	Both
107	128	Dynamic
539	539	Both
516	516	Both
571	573	Dynamic
296	296	Both
158	158	Both
259	259	Both
216	224	Dynamic
340	340	Both
481	506	Dynamic
621	621	Both
315	332	Dynamic
339	339	Both
467	474	Dynamic
192	192	Both
338	354	Dynamic
150	150	Both
534	544	Dynamic
522	530	Dynamic
278	278	Both
468	468	Both
187	187	Both
568	568	Both
531	531	Both
103	104	Dynamic
493	493	Both
357	371	Dynamic
445	466	Dynamic
218	218	Both
483	483	Both
629	629	Both
255	255	Both
489	505	Dynamic
369	369	Both
335	335	Both
233	235	Dynamic
591	591	Both
410	410	Both
372	372	Both
205	214	Dynamic
307	309	Dynamic
345	345	Both
91	103	Dynamic
389	403	Dynamic
550	550	Both
540	570	Dynamic
234	234	Both
370	370	Both
625	625	Both
334	334	Both
440	440	Both
160	160	Both
486	487	Dynamic
713	714	Dynamic
434	434	Both
164	179	Dynamic
263	273	Dynamic
75	75	Both
618	618	Both
260	260	Both
0	0	Both
226	226	Both
353	353	Both
87	87	Both
169	176	Dynamic
420	420	Both
264	264	Both
274	274	Both
249	263	Dynamic
221	221	Both
461	466	Dynamic
597	609	Dynamic
416	433	Dynamic
212	212	Both
710	710	Both
310	310	Both
503	503	Both
487	493	Dynamic
290	290	Both
116	116	Both
87	87	Both
82	82	Both
456	480	Dynamic
439	457	Dynamic
164	164	Both
246	246	Both
652	652	Both
178	204	Dynamic
456	463	Dynamic
595	608	Dynamic
221	238	Dynamic
486	486	Both
139	162	Dynamic
130	130	Both
621	621	Both
346	346	Both
166	173	Dynamic
260	272	Dynamic
443	452	Dynamic
549	549	Both
587	587	Both
487	487	Both
104	104	Both
289	289	Both
234	245	Dynamic
286	286	Both
216	216	Both
117	117	Both
221	221	Both
134	134	Both
558	569	Dynamic
569	602	Dynamic
204	206	Dynamic
215	215	Both
299	299	Both
743	743	Both
506	506	Both
173	173	Both
376	376	Both
478	490	Dynamic
206	206	Both
482	482	Both
299	299	Both
418	418	Both
151	153	Dynamic
496	499	Dynamic
645	658	Dynamic
315	315	Both
592	592	Both
472	472	Both
139	139	Both
174	177	Dynamic
398	398	Both
156	156	Both
194	198	Dynamic
182	182	Both
512	523	Dynamic
423	423	Both
204	204	Both
179	183	Dynamic
356	356	Both
323	323	Both
195	195	Both
253	253	Both
512	512	Both
208	208	Both
389	389	Both
171	171	Both
473	480	Dynamic
430	430	Both
367	368	Dynamic
449	485	Dynamic
20	20	Both
470	470	Both
376	376	Both
115	115	Both
323	340	Dynamic
188	188	Both
661	661	Both
495	512	Dynamic
193	193	Both
643	643	Both
232	248	Dynamic
366	366	Both
244	244	Both
40	41	Dynamic
294	294	Both
94	94	Both
807	807	Both
149	169	Dynamic
311	311	Both
257	257	Both
441	456	Dynamic
398	398	Both
532	532	Both
192	197	Dynamic
448	448	Both
546	546	Both
431	431	Both
415	415	Both
188	207	Dynamic
395	424	Dynamic
319	319	Both
267	301	Dynamic
597	597	Both
350	350	Both
433	433	Both
567	567	Both
369	383	Dynamic
123	123	Both
133	133	Both
350	350	Both
236	236	Both
356	381	Dynamic
71	71	Both
500	531	Dynamic
641	669	Dynamic
366	385	Dynamic
403	406	Dynamic
337	337	Both
230	265	Dynamic
183	200	Dynamic
352	352	Both
499	510	Dynamic
74	83	Dynamic
427	427	Both
233	239	Dynamic
157	188	Dynamic
678	687	Dynamic
605	616	Dynamic
148	148	Both
200	219	Dynamic
302	302	Both
595	611	Dynamic
365	365	Both
285	285	Both
207	207	Both
322	322	Both
239	239	Both
683	685	Dynamic
397	397	Both
85	100	Dynamic
291	291	Both
166	211	Dynamic
536	536	Both
381	387	Dynamic
278	292	Dynamic
106	106	Both
149	149	Both
424	424	Both
376	405	Dynamic
433	433	Both
441	441	Both
336	336	Both
321	331	Dynamic
321	346	Dynamic
524	524	Both
198	198	Both
88	96	Dynamic
370	386	Dynamic
457	464	Dynamic
364	374	Dynamic
426	426	Both
188	198	Dynamic
154	154	Both
362	392	Dynamic
